City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
0,0,Avarua,CK,2020-09-13 20:35:30,-21.21,-159.78,75.2,73,97,9.17,overcast clouds,Paradise Inn
2,2,Le Vauclin,MQ,2020-09-13 20:35:31,14.55,-60.84,81.0,88,32,3.36,mist,Hôtel Cap Macabou
4,4,Rikitea,PF,2020-09-13 20:35:31,-23.12,-134.97,73.58,84,0,13.62,clear sky,Pension Maro'i
9,9,Ribeira Grande,PT,2020-09-13 20:35:32,38.52,-28.7,73.4,83,40,14.99,scattered clouds,Quinta da Meia Eira
14,14,Sao Joao Del Rei,BR,2020-09-13 20:35:32,-21.14,-44.26,78.8,27,0,8.05,clear sky,Solara Hotel
23,23,Gouyave,GD,2020-09-13 20:35:33,12.16,-61.73,89.6,75,40,17.22,scattered clouds,Rumboat Retreat
30,30,Lincoln,US,2020-09-13 20:33:33,40.8,-96.67,84.0,34,1,3.8,clear sky,Courtyard by Marriott Lincoln Downtown/Haymarket
33,33,Qui Nhon,VN,2020-09-13 20:35:36,13.77,109.23,78.33,85,95,4.97,overcast clouds,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
35,35,Bubaque,GW,2020-09-13 20:35:36,11.28,-15.83,80.85,87,52,18.3,broken clouds,Casa Dora - Mango Lodge
36,36,Butaritari,KI,2020-09-13 20:35:36,3.07,172.79,82.78,75,12,15.68,few clouds,Isles Sunset Lodge
40,40,Puerto Ayora,EC,2020-09-13 20:35:38,-0.74,-90.35,78.8,54,20,6.93,few clouds,Finch Bay Galapagos Hotel
41,41,Tura,IN,2020-09-13 20:35:38,25.52,90.22,74.01,98,100,6.11,overcast clouds,Hotel RIKMAN Continental
43,43,Cockburn Town,TC,2020-09-13 20:35:39,21.46,-71.14,86.0,66,40,6.93,scattered clouds,Osprey Beach Hotel
48,48,Makakilo City,US,2020-09-13 20:35:40,21.35,-158.09,84.2,51,20,5.82,few clouds,Marriott's Ko Olina Beach Club
49,49,San Quintin,MX,2020-09-13 20:35:40,30.48,-115.95,79.95,51,0,15.01,clear sky,Old Mill Hotel
52,52,Atuona,PF,2020-09-13 20:35:40,-9.8,-139.03,78.4,77,1,16.06,clear sky,Villa Enata
56,56,Guerrero Negro,MX,2020-09-13 20:35:41,27.98,-114.06,87.73,33,0,10.76,clear sky,"Casa Laguna, Bed & Breakfast"
58,58,Lazaro Cardenas,MX,2020-09-13 20:35:41,17.96,-102.2,85.28,71,96,8.77,overcast clouds,Collection O Hotel Quinta Antigua
59,59,Faya,SA,2020-09-13 20:35:41,18.39,42.45,75.2,13,0,4.7,clear sky,مقبرة ال مجمل
60,60,Lata,PT,2020-09-13 20:35:42,40.16,-8.33,72.0,88,20,4.7,few clouds,Casa Maquia
62,62,Bambous Virieux,MU,2020-09-13 20:30:44,-20.34,57.76,71.6,78,75,10.29,shower rain,Casa Tia Villa
65,65,Labuhan,ID,2020-09-13 20:35:43,-6.88,112.21,76.46,80,63,8.61,heavy intensity rain,bador sepret
69,69,Port Blair,IN,2020-09-13 20:31:06,11.67,92.75,81.97,78,100,11.97,overcast clouds,Fortune Resort Bay Island
73,73,Hithadhoo,MV,2020-09-13 20:35:43,-0.6,73.08,81.37,69,85,5.59,overcast clouds,Scoop Guest House
