City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,2020-09-13 20:35:30,-21.21,-159.78,75.2,73,97,9.17,overcast clouds
1,Lebu,CL,2020-09-13 20:35:31,-37.62,-73.65,51.17,68,0,18.21,clear sky
2,Le Vauclin,MQ,2020-09-13 20:35:31,14.55,-60.84,81.0,88,32,3.36,mist
3,East London,ZA,2020-09-13 20:35:31,-33.02,27.91,63.3,57,69,8.39,broken clouds
4,Rikitea,PF,2020-09-13 20:35:31,-23.12,-134.97,73.58,84,0,13.62,clear sky
5,Albany,US,2020-09-13 20:35:31,42.6,-73.97,73.99,65,65,6.58,broken clouds
6,Pevek,RU,2020-09-13 20:31:06,69.7,170.31,42.49,84,94,8.41,overcast clouds
7,Saldanha,ZA,2020-09-13 20:35:31,-33.01,17.94,55.4,82,82,3.36,broken clouds
8,Barrow,US,2020-09-13 20:35:32,71.29,-156.79,39.2,93,90,18.34,mist
9,Ribeira Grande,PT,2020-09-13 20:35:32,38.52,-28.7,73.4,83,40,14.99,scattered clouds
10,Mataura,NZ,2020-09-13 20:35:32,-46.19,168.86,52.0,91,100,4.0,overcast clouds
11,Hermanus,ZA,2020-09-13 20:34:11,-34.42,19.23,55.99,77,35,3.0,scattered clouds
12,Rorvik,NO,2020-09-13 20:35:32,64.86,11.24,51.8,71,75,20.8,shower rain
13,Narsaq,GL,2020-09-13 20:35:32,60.92,-46.05,44.6,33,0,6.93,clear sky
14,Sao Joao Del Rei,BR,2020-09-13 20:35:32,-21.14,-44.26,78.8,27,0,8.05,clear sky
15,Bluff,NZ,2020-09-13 20:35:32,-46.6,168.33,52.0,91,100,4.0,overcast clouds
16,Punta Arenas,CL,2020-09-13 20:32:09,-53.15,-70.92,44.6,69,100,21.92,overcast clouds
17,Qaanaaq,GL,2020-09-13 20:35:33,77.48,-69.36,22.68,81,4,7.54,clear sky
18,Yingkou,CN,2020-09-13 20:35:33,40.66,122.23,60.64,91,8,4.56,light rain
19,Bredasdorp,ZA,2020-09-13 20:35:33,-34.53,20.04,57.2,62,44,17.22,scattered clouds
20,Cidreira,BR,2020-09-13 20:31:08,-30.18,-50.21,64.62,93,62,8.37,light rain
21,Mandalgovi,MN,2020-09-13 20:35:33,45.76,106.27,41.34,61,0,5.99,clear sky
22,Coquimbo,CL,2020-09-13 20:35:33,-29.95,-71.34,60.8,63,0,12.75,clear sky
23,Gouyave,GD,2020-09-13 20:35:33,12.16,-61.73,89.6,75,40,17.22,scattered clouds
24,Ushuaia,AR,2020-09-13 20:34:31,-54.8,-68.3,44.6,71,100,6.73,overcast clouds
25,Hoquiam,US,2020-09-13 20:35:34,46.98,-123.89,64.99,77,90,5.82,haze
26,Busselton,AU,2020-09-13 20:35:34,-33.65,115.33,55.99,63,100,6.76,overcast clouds
27,Quarai,BR,2020-09-13 20:35:34,-30.39,-56.45,66.96,92,100,8.55,overcast clouds
28,Norman Wells,CA,2020-09-13 20:35:35,65.28,-126.83,39.2,60,20,3.36,few clouds
29,Broome,US,2020-09-13 20:35:35,42.25,-75.83,66.0,93,90,8.05,overcast clouds
30,Lincoln,US,2020-09-13 20:33:33,40.8,-96.67,84.0,34,1,3.8,clear sky
31,Port Alfred,ZA,2020-09-13 20:35:35,-33.59,26.89,59.02,64,0,9.28,clear sky
32,Osoyoos,CA,2020-09-13 20:32:07,49.03,-119.45,69.8,43,90,16.11,smoke
33,Qui Nhon,VN,2020-09-13 20:35:36,13.77,109.23,78.33,85,95,4.97,overcast clouds
34,Tuatapere,NZ,2020-09-13 20:35:36,-46.13,167.68,52.0,91,100,4.0,overcast clouds
35,Bubaque,GW,2020-09-13 20:35:36,11.28,-15.83,80.85,87,52,18.3,broken clouds
36,Butaritari,KI,2020-09-13 20:35:36,3.07,172.79,82.78,75,12,15.68,few clouds
37,Mar Del Plata,AR,2020-09-13 20:35:37,-38.0,-57.56,54.0,54,100,11.41,overcast clouds
38,Yar-Sale,RU,2020-09-13 20:35:37,66.83,70.83,44.01,91,24,9.42,few clouds
39,Vaini,TO,2020-09-13 20:35:37,-21.2,-175.2,69.8,73,75,11.41,broken clouds
40,Puerto Ayora,EC,2020-09-13 20:35:38,-0.74,-90.35,78.8,54,20,6.93,few clouds
41,Tura,IN,2020-09-13 20:35:38,25.52,90.22,74.01,98,100,6.11,overcast clouds
42,Bauchi,NG,2020-09-13 20:35:39,10.5,10.0,73.13,85,100,3.02,overcast clouds
43,Cockburn Town,TC,2020-09-13 20:35:39,21.46,-71.14,86.0,66,40,6.93,scattered clouds
